Role,Business Area,Question,Reply,Industry,EmployeeCode
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, Tech stack blueprint,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, BRD creation for tools,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP B1  ,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP B1,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,FMCG,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,IT/ITES,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,Logistics,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Implementation -SAP HANA,Yet to Acquire,Retail and E-comm,WAPL-MC-E0511
Engagement Manager,Digital Transformation, ERP Optimization -SAP HANA,Yet to Acquire,B2B Distribution,WAPL-MC-E0511
