Project name,EmployeeCode,TaskName,TimesheetDate,Hours(Filled),TaskType,BusinessGroup,OrganizationUnit,Type of project
1,WAPL-MC-E0437,EL time,25-Oct-2024,3.0,Advance,INDIA SBU,INDIA,Project
2,WAPL-MC-E0520,Idle Time,04-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,05-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,06-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,07-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,08-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,28-Oct-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,29-Oct-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,30-Oct-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
3,WAPL-MC-E0622,Analyse each ledger in the Trial Balance as of YTD September and suggest correct treatment,06-Nov-2024,4.5,Operational,INDIA SBU,INDIA,Project
3,WAPL-MC-E0622,Analyse each ledger in the Trial Balance as of YTD September and suggest correct treatment,07-Nov-2024,4.5,Operational,INDIA SBU,INDIA,Project
3,WAPL-MC-E0622,Analyse each ledger in the Trial Balance as of YTD September and suggest correct treatment,08-Nov-2024,4.5,Operational,INDIA SBU,INDIA,Project
3,WAPL-MC-E0622,Perform sampling on selected ledgers to vouch transactions,04-Nov-2024,4.5,Operational,INDIA SBU,INDIA,Project
3,WAPL-MC-E0622,Perform sampling on selected ledgers to vouch transactions,05-Nov-2024,4.5,Operational,INDIA SBU,INDIA,Project
3,WAPL-MC-E0622,Review bank reconciliations for accuracy and completeness and TB reconciles with bank balance,04-Nov-2024,4.5,Operational,INDIA SBU,INDIA,Project
3,WAPL-MC-E0622,Review bank reconciliations for accuracy and completeness and TB reconciles with bank balance,05-Nov-2024,4.5,Operational,INDIA SBU,INDIA,Project
4,WAPL-MC-E0622,"Draft the B.Plan for 3 years - Income Statement, Balance Sheet, Cashflow, Overheads assumption",06-Nov-2024,4.5,Intermediate,INDIA SBU,INDIA,Project
4,WAPL-MC-E0622,"Draft the B.Plan for 3 years - Income Statement, Balance Sheet, Cashflow, Overheads assumption",07-Nov-2024,4.5,Intermediate,INDIA SBU,INDIA,Project
4,WAPL-MC-E0622,"Draft the B.Plan for 3 years - Income Statement, Balance Sheet, Cashflow, Overheads assumption",08-Nov-2024,4.5,Intermediate,INDIA SBU,INDIA,Project
2,WAPL-MC-E0244,Idle Time,04-Nov-2024,3.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,05-Nov-2024,3.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,06-Nov-2024,3.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,07-Nov-2024,3.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,08-Nov-2024,3.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Leave,28-Oct-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Leave,29-Oct-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Leave,30-Oct-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Leave,31-Oct-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Leave,01-Nov-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,11-Nov-2024,4.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,12-Nov-2024,4.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,13-Nov-2024,4.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,14-Nov-2024,4.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0244,Idle Time,15-Nov-2024,4.0,Idle Time,INDIA SBU,INDIA,Internal Project
5,WAPL-MC-E0630,Balance Sheet Analysis,28-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Balance Sheet Analysis,29-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Balance Sheet Analysis,30-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,28-Oct-2024,2.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,29-Oct-2024,2.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,30-Oct-2024,2.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,28-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,29-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,30-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,P&L Analysis,28-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
2,WAPL-MC-E0652,Idle Time,11-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0652,Idle Time,12-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0652,Idle Time,13-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0652,Idle Time,14-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0652,Idle Time,15-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0520,Idle Time,11-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0118,Leave,31-Oct-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0118,Leave,01-Nov-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0118,Leave,08-Nov-2024,9.0,Leave,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0118,"Induction, self learning and other trainings",07-Nov-2024,1.25,Induction self learnings and other trainings,INDIA SBU,INDIA,Internal Project
5,WAPL-MC-E0630,P&L Analysis,29-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,P&L Analysis,30-Oct-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Balance Sheet Analysis,04-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Balance Sheet Analysis,05-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,04-Nov-2024,2.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,05-Nov-2024,2.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,06-Nov-2024,2.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,07-Nov-2024,1.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,08-Nov-2024,2.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,04-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,05-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,06-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,08-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,P&L Analysis,04-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,P&L Analysis,05-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Hyperion - Netting,06-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Hyperion - Netting,08-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
2,WAPL-MC-E0151,Idle Time,04-Nov-2024,6.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0151,Idle Time,05-Nov-2024,6.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0151,Idle Time,06-Nov-2024,9.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0151,Idle Time,07-Nov-2024,6.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0151,Idle Time,08-Nov-2024,5.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0151,Idle Time,28-Oct-2024,5.0,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0151,Idle Time,29-Oct-2024,1.5,Idle Time,INDIA SBU,INDIA,Internal Project
2,WAPL-MC-E0151,Idle Time,30-Oct-2024,5.0,Idle Time,INDIA SBU,INDIA,Internal Project
5,WAPL-MC-E0630,DSO Review and Improvement,06-Nov-2024,2.0,Advance,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,DSO Review and Improvement,08-Nov-2024,2.0,Advance,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,11-Nov-2024,6.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,12-Nov-2024,6.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,13-Nov-2024,6.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,14-Nov-2024,6.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,Budget Preparation,15-Nov-2024,1.0,Intermediate,INDIA SBU,INDIA,Project
5,WAPL-MC-E0630,D365 Customizations & Jira tickets,11-Nov-2024,2.0,Operational,INDIA SBU,INDIA,Project
2,WAPL-MC-E0151,Idle Time,11-Nov-2024,7.0,Idle Time,INDIA SBU,INDIA,Internal Project
