Metric_ID,Metric_Name,Value,Category,Date,Department,Target_Value
1,Metric_1,92.0,Cost,2025-09-09,Sales,108.91
2,Metric_2,87.31,Customer,2025-09-12,HR,104.63
3,Metric_3,96.71,Cost,2025-07-31,Sales,136.35
4,Metric_4,99.51,Customer,2025-09-08,Marketing,87.04
5,Metric_5,96.17,Customer,2025-07-28,Operations,130.84
6,Metric_6,52.95,Cost,2025-08-19,Marketing,77.39
7,Metric_7,127.87,Customer,2025-09-13,IT,125.56
8,Metric_8,59.82,Quality,2025-09-30,IT,103.92
9,Metric_9,58.93,Efficiency,2025-07-22,Marketing,73.78
10,Metric_10,119.25,Revenue,2025-08-28,Operations,82.42
11,Metric_11,147.5,Customer,2025-08-03,IT,116.24
12,Metric_12,149.65,Cost,2025-09-28,IT,79.47
13,Metric_13,145.28,Quality,2025-09-22,Sales,108.3
14,Metric_14,96.92,Cost,2025-07-11,Marketing,66.26
15,Metric_15,134.73,Revenue,2025-09-28,Operations,78.57
16,Metric_16,124.55,Customer,2025-07-22,Marketing,62.08
17,Metric_17,70.93,Efficiency,2025-09-10,Sales,101.51
18,Metric_18,101.3,Customer,2025-09-25,HR,111.36
19,Metric_19,109.08,Customer,2025-08-26,Marketing,90.11
20,Metric_20,75.42,Customer,2025-09-08,Marketing,91.51
21,Metric_21,128.97,Revenue,2025-08-18,Marketing,137.26
22,Metric_22,149.88,Efficiency,2025-09-27,Sales,137.96
23,Metric_23,95.73,Cost,2025-07-20,Marketing,74.92
24,Metric_24,96.4,Quality,2025-09-18,Sales,113.7
25,Metric_25,60.75,Efficiency,2025-07-19,Marketing,76.71
26,Metric_26,106.04,Revenue,2025-09-17,Operations,131.06
27,Metric_27,73.63,Customer,2025-10-06,HR,133.34
28,Metric_28,102.92,Customer,2025-08-19,Marketing,113.88
29,Metric_29,57.09,Revenue,2025-08-25,Marketing,73.62
30,Metric_30,133.15,Quality,2025-08-22,IT,96.01
31,Metric_31,123.96,Cost,2025-07-09,Sales,110.88
32,Metric_32,129.41,Quality,2025-09-17,Marketing,139.93
33,Metric_33,143.94,Efficiency,2025-09-16,Operations,97.48
34,Metric_34,76.49,Customer,2025-07-29,HR,93.65
35,Metric_35,131.27,Revenue,2025-08-19,Marketing,105.24
36,Metric_36,120.62,Quality,2025-07-09,Marketing,130.64
37,Metric_37,61.79,Cost,2025-08-13,Sales,113.97
38,Metric_38,107.34,Revenue,2025-07-21,Operations,138.67
39,Metric_39,144.54,Efficiency,2025-07-17,Operations,109.88
40,Metric_40,63.93,Revenue,2025-08-29,Operations,126.52
41,Metric_41,56.27,Revenue,2025-09-24,HR,89.99
42,Metric_42,50.54,Efficiency,2025-10-06,Marketing,114.29
43,Metric_43,112.48,Revenue,2025-07-22,Marketing,73.5
44,Metric_44,69.26,Efficiency,2025-10-07,Operations,131.63
45,Metric_45,120.23,Customer,2025-09-14,HR,62.63
46,Metric_46,53.88,Cost,2025-09-20,Marketing,88.95
47,Metric_47,77.03,Customer,2025-08-27,HR,135.89
48,Metric_48,125.41,Revenue,2025-08-24,IT,139.06
49,Metric_49,111.8,Revenue,2025-09-14,Operations,62.31
50,Metric_50,78.35,Quality,2025-10-03,IT,124.17
51,Metric_51,75.88,Cost,2025-09-28,IT,99.14
52,Metric_52,66.53,Cost,2025-09-15,IT,97.0
53,Metric_53,121.21,Quality,2025-09-27,Sales,123.81
54,Metric_54,72.41,Revenue,2025-07-11,HR,136.07
55,Metric_55,124.71,Efficiency,2025-07-21,IT,127.37
56,Metric_56,77.7,Cost,2025-09-15,HR,109.45
57,Metric_57,52.58,Customer,2025-09-06,Sales,110.32
58,Metric_58,98.92,Efficiency,2025-10-06,HR,89.73
59,Metric_59,121.27,Quality,2025-09-07,Operations,100.4
60,Metric_60,124.99,Revenue,2025-07-14,Marketing,91.26
61,Metric_61,124.45,Revenue,2025-08-03,IT,79.81
62,Metric_62,65.18,Revenue,2025-09-01,Operations,115.46
63,Metric_63,131.58,Customer,2025-08-05,IT,97.7
64,Metric_64,101.18,Cost,2025-08-16,IT,69.46
65,Metric_65,75.35,Cost,2025-07-12,Sales,125.93
66,Metric_66,94.93,Quality,2025-07-29,Sales,87.3
67,Metric_67,112.21,Revenue,2025-08-02,Sales,135.81
68,Metric_68,130.89,Cost,2025-07-21,IT,76.6
69,Metric_69,78.98,Cost,2025-08-29,IT,103.59
70,Metric_70,136.11,Customer,2025-10-03,HR,73.27
71,Metric_71,92.35,Efficiency,2025-07-19,IT,134.72
72,Metric_72,60.73,Customer,2025-10-04,Operations,114.76
73,Metric_73,81.59,Quality,2025-08-17,Sales,66.86
74,Metric_74,50.47,Efficiency,2025-07-21,Marketing,107.68
75,Metric_75,109.67,Efficiency,2025-07-29,Marketing,64.84
76,Metric_76,101.1,Revenue,2025-10-06,Operations,92.26
77,Metric_77,61.01,Customer,2025-08-22,Sales,62.93
78,Metric_78,88.75,Revenue,2025-08-16,HR,81.21
79,Metric_79,115.83,Efficiency,2025-07-18,Marketing,116.93
80,Metric_80,107.02,Customer,2025-10-01,Operations,132.9
81,Metric_81,72.57,Quality,2025-08-12,Marketing,93.06
82,Metric_82,90.09,Efficiency,2025-08-31,HR,63.3
83,Metric_83,101.72,Quality,2025-08-09,HR,85.95
84,Metric_84,128.73,Customer,2025-08-10,IT,69.73
85,Metric_85,97.54,Customer,2025-08-16,HR,119.91
86,Metric_86,61.91,Efficiency,2025-09-04,IT,129.69
87,Metric_87,119.15,Efficiency,2025-07-22,HR,65.39
88,Metric_88,93.98,Revenue,2025-08-19,Sales,102.12
89,Metric_89,74.0,Revenue,2025-10-03,Operations,89.87
90,Metric_90,78.36,Customer,2025-08-04,Operations,104.38
91,Metric_91,84.89,Customer,2025-07-30,IT,66.77
92,Metric_92,54.11,Cost,2025-09-04,HR,120.28
93,Metric_93,72.99,Cost,2025-08-01,IT,120.43
94,Metric_94,80.94,Cost,2025-09-01,IT,99.77
95,Metric_95,64.45,Quality,2025-09-19,IT,67.42
96,Metric_96,108.22,Revenue,2025-08-23,Marketing,94.63
97,Metric_97,116.08,Cost,2025-08-29,Marketing,73.55
98,Metric_98,67.47,Revenue,2025-07-11,Marketing,137.58
99,Metric_99,89.61,Efficiency,2025-10-01,Sales,63.34
100,Metric_100,61.78,Customer,2025-07-17,IT,107.6
101,Metric_101,120.3,Customer,2025-09-30,Sales,75.31
102,Metric_102,101.67,Efficiency,2025-09-14,Sales,136.53
103,Metric_103,135.99,Cost,2025-10-04,Sales,117.12
104,Metric_104,146.47,Quality,2025-09-26,HR,107.08
105,Metric_105,92.01,Customer,2025-09-28,Sales,105.84
106,Metric_106,142.3,Quality,2025-09-26,Marketing,99.63
107,Metric_107,129.66,Efficiency,2025-08-04,Operations,122.09
108,Metric_108,98.04,Quality,2025-08-13,Marketing,114.19
109,Metric_109,51.75,Revenue,2025-07-16,Operations,117.7
110,Metric_110,128.96,Efficiency,2025-07-19,Sales,125.59
111,Metric_111,89.66,Customer,2025-08-04,HR,103.66
112,Metric_112,88.96,Cost,2025-08-26,Marketing,123.36
113,Metric_113,101.99,Efficiency,2025-09-06,Marketing,92.13
114,Metric_114,71.98,Cost,2025-08-05,IT,75.14
115,Metric_115,112.14,Efficiency,2025-08-09,Marketing,72.57
116,Metric_116,51.44,Customer,2025-09-03,Sales,82.83
117,Metric_117,55.41,Customer,2025-08-20,Operations,136.82
118,Metric_118,67.85,Cost,2025-09-27,Marketing,120.4
119,Metric_119,89.97,Quality,2025-08-06,Sales,78.31
120,Metric_120,125.3,Customer,2025-09-06,HR,81.56
121,Metric_121,131.66,Efficiency,2025-09-25,IT,116.96
122,Metric_122,96.9,Efficiency,2025-07-23,IT,127.37
123,Metric_123,56.09,Customer,2025-10-06,Operations,98.13
124,Metric_124,106.4,Quality,2025-07-14,Marketing,76.79
125,Metric_125,136.31,Efficiency,2025-07-18,Marketing,65.04
126,Metric_126,55.15,Revenue,2025-08-15,Sales,109.93
127,Metric_127,74.74,Quality,2025-08-23,IT,134.12
128,Metric_128,67.94,Customer,2025-08-27,Marketing,72.31
129,Metric_129,65.54,Customer,2025-09-03,HR,77.68
130,Metric_130,143.0,Revenue,2025-09-16,HR,99.5
131,Metric_131,133.24,Quality,2025-09-29,Operations,63.34
132,Metric_132,146.68,Efficiency,2025-10-07,Marketing,99.44
133,Metric_133,139.55,Revenue,2025-09-04,Operations,79.04
134,Metric_134,113.36,Efficiency,2025-07-26,Marketing,85.53
135,Metric_135,144.98,Efficiency,2025-09-02,Marketing,128.52
136,Metric_136,65.3,Quality,2025-09-20,HR,125.6
137,Metric_137,146.18,Revenue,2025-07-28,HR,72.39
138,Metric_138,107.41,Efficiency,2025-09-08,IT,61.3
139,Metric_139,139.16,Revenue,2025-07-19,Sales,134.48
140,Metric_140,90.42,Quality,2025-09-13,Operations,72.93
141,Metric_141,125.26,Revenue,2025-09-05,Operations,79.45
