Deal_ID,Stage,Stage_Date,Days_in_Stage,Previous_Stage,Stage_Notes
76,Qualification,2025-08-26,29,Proposal,Note_0
4,Proposal,2025-04-26,1,,Note_1
72,Qualification,2025-03-25,11,Negotiation,Note_2
32,Qualification,2025-03-09,34,,Note_3
61,Negotiation,2025-02-11,19,,Note_4
53,Prospecting,2024-11-08,25,Prospecting,Note_5
44,Negotiation,2025-07-19,20,Proposal,Note_6
82,Prospecting,2024-11-28,22,Prospecting,Note_7
7,Prospecting,2025-07-17,40,,Note_8
92,Closed Lost,2024-12-25,17,,Note_9
31,Qualification,2024-11-26,16,Prospecting,Note_10
21,Closed Won,2025-09-29,41,Negotiation,Note_11
5,Prospecting,2025-06-09,38,Proposal,Note_12
24,Qualification,2025-08-12,11,,Note_13
46,Closed Lost,2024-10-10,55,Qualification,Note_14
72,Closed Lost,2025-03-07,36,Proposal,Note_15
28,Closed Won,2025-07-28,51,Prospecting,Note_16
12,Qualification,2025-01-09,19,Negotiation,Note_17
2,Negotiation,2025-03-27,11,Negotiation,Note_18
66,Negotiation,2025-07-17,52,,Note_19
39,Qualification,2025-08-14,57,Prospecting,Note_20
51,Closed Lost,2025-02-04,51,Qualification,Note_21
38,Negotiation,2024-11-08,34,Proposal,Note_22
30,Qualification,2025-09-03,13,Proposal,Note_23
66,Closed Lost,2025-07-13,10,Negotiation,Note_24
13,Proposal,2025-05-10,44,Qualification,Note_25
50,Closed Lost,2025-08-21,16,Negotiation,Note_26
29,Prospecting,2025-07-29,55,Qualification,Note_27
42,Closed Won,2025-06-29,10,Prospecting,Note_28
30,Proposal,2025-06-06,48,Proposal,Note_29
8,Closed Lost,2025-08-27,38,,Note_30
84,Closed Won,2025-04-29,29,Negotiation,Note_31
72,Negotiation,2025-01-29,25,Qualification,Note_32
11,Closed Lost,2025-04-11,53,Qualification,Note_33
76,Proposal,2025-09-23,43,Negotiation,Note_34
71,Closed Lost,2025-02-15,35,Proposal,Note_35
78,Prospecting,2025-02-04,49,Negotiation,Note_36
24,Proposal,2025-03-15,48,Prospecting,Note_37
8,Prospecting,2025-02-27,40,Prospecting,Note_38
42,Closed Lost,2024-12-05,57,,Note_39
16,Closed Lost,2025-08-19,51,Negotiation,Note_40
51,Prospecting,2025-09-08,51,Negotiation,Note_41
52,Negotiation,2025-04-21,38,Qualification,Note_42
47,Qualification,2025-05-03,16,Proposal,Note_43
84,Proposal,2024-11-01,14,Prospecting,Note_44
50,Prospecting,2025-01-18,1,Qualification,Note_45
11,Closed Won,2024-10-18,41,Negotiation,Note_46
34,Negotiation,2024-10-10,9,Proposal,Note_47
48,Negotiation,2025-02-05,52,Prospecting,Note_48
98,Negotiation,2025-08-08,58,Proposal,Note_49
45,Negotiation,2025-06-18,39,,Note_50
