Employee_ID,Employee_Name,Project,Hours_Logged,Date,Task_Type,Billable
EMP001,Employee_1,Project_A,5.74,2025-09-20,Research,Yes
EMP002,Employee_2,Project_E,4.71,2025-10-04,Meetings,No
EMP003,Employee_3,Project_C,10.3,2025-09-24,Development,Yes
EMP004,Employee_4,Project_A,4.74,2025-10-05,Development,No
EMP005,Employee_5,Project_D,11.77,2025-09-14,Development,No
EMP006,Employee_6,Project_C,5.86,2025-10-01,Development,Yes
EMP007,Employee_7,Project_C,8.71,2025-09-08,Meetings,No
EMP008,Employee_8,Project_E,7.52,2025-09-26,Development,Yes
EMP009,Employee_9,Project_B,11.55,2025-09-25,Testing,Yes
EMP010,Employee_10,Project_E,4.21,2025-09-23,Testing,No
EMP011,Employee_11,Project_E,5.31,2025-10-04,Development,Yes
EMP012,Employee_12,Project_C,8.76,2025-09-17,Research,No
EMP013,Employee_13,Project_C,11.31,2025-09-18,Research,Yes
EMP014,Employee_14,Project_D,7.29,2025-09-12,Development,Yes
EMP015,Employee_15,Project_E,8.25,2025-10-07,Documentation,No
EMP016,Employee_16,Project_B,5.64,2025-09-13,Testing,No
EMP017,Employee_17,Project_D,5.28,2025-09-30,Development,Yes
EMP018,Employee_18,Project_B,6.93,2025-09-11,Documentation,No
EMP019,Employee_19,Project_C,10.48,2025-10-04,Documentation,Yes
EMP020,Employee_20,Project_B,8.75,2025-09-22,Research,Yes
EMP021,Employee_21,Project_C,10.64,2025-09-17,Meetings,No
EMP022,Employee_22,Project_C,11.12,2025-09-12,Documentation,No
EMP023,Employee_23,Project_E,7.29,2025-09-27,Development,Yes
EMP024,Employee_24,Project_C,8.41,2025-09-17,Documentation,No
EMP025,Employee_25,Project_A,4.92,2025-09-21,Testing,Yes
EMP026,Employee_26,Project_E,6.63,2025-09-07,Meetings,Yes
EMP027,Employee_27,Project_E,5.5,2025-09-13,Testing,Yes
EMP028,Employee_28,Project_A,10.88,2025-09-16,Testing,Yes
EMP029,Employee_29,Project_B,4.05,2025-09-28,Testing,Yes
EMP030,Employee_30,Project_A,5.49,2025-09-17,Documentation,No
EMP031,Employee_31,Project_A,8.31,2025-09-29,Development,Yes
EMP032,Employee_32,Project_D,7.64,2025-09-29,Meetings,Yes
EMP033,Employee_33,Project_A,6.33,2025-09-08,Testing,Yes
EMP034,Employee_34,Project_B,7.2,2025-09-09,Meetings,No
EMP035,Employee_35,Project_A,6.7,2025-09-07,Testing,No
EMP036,Employee_36,Project_E,6.21,2025-09-17,Development,No
EMP037,Employee_37,Project_C,11.67,2025-09-28,Development,No
EMP038,Employee_38,Project_E,6.37,2025-09-15,Testing,Yes
EMP039,Employee_39,Project_D,11.52,2025-09-22,Development,Yes
EMP040,Employee_40,Project_B,10.1,2025-09-28,Testing,No
EMP041,Employee_41,Project_C,5.76,2025-09-23,Development,Yes
EMP042,Employee_42,Project_C,7.0,2025-09-11,Meetings,Yes
EMP043,Employee_43,Project_E,6.05,2025-10-01,Meetings,No
EMP044,Employee_44,Project_B,5.45,2025-09-26,Development,No
EMP045,Employee_45,Project_B,6.69,2025-09-26,Development,No
EMP046,Employee_46,Project_E,11.57,2025-10-03,Development,Yes
EMP047,Employee_47,Project_A,8.74,2025-09-25,Research,No
EMP048,Employee_48,Project_C,7.43,2025-09-26,Meetings,Yes
EMP049,Employee_49,Project_B,5.96,2025-09-15,Testing,No
EMP050,Employee_50,Project_C,10.2,2025-09-11,Documentation,No
EMP051,Employee_51,Project_E,4.65,2025-09-18,Testing,No
EMP052,Employee_52,Project_C,7.07,2025-10-07,Documentation,Yes
EMP053,Employee_53,Project_C,9.71,2025-09-10,Meetings,Yes
EMP054,Employee_54,Project_E,10.42,2025-09-23,Testing,Yes
EMP055,Employee_55,Project_E,10.89,2025-09-11,Development,No
